id,transaction time,current bank amount,last bank amount,time taken (seconds),most recent bank amount,account type,marital_status,age,occupation,credit card type,account source verification,transaction source method,account destination verification,fradulent
acus23,2016-09-04T05:17:13,52217,482119,3930,24885,current,single,40,doctor,master,True,False,False,0
acus24,2015-06-23T15:51:22,42537,128278,2103,40891,current,unknown,63,clergy,verve,True,True,False,0
acus25,2014-05-23T20:26:03,92434,1486843,1528,356122,current,married,71,banking,master,True,True,True,0
acus26,2014-03-21T09:07:41,36233,137278,1508,90549,saving,unknown,54,lawyer,master,True,True,False,0
acus27,2016-09-19T20:34:43,7470,917299,3168,468571,saving,unknown,37,lawyer,master,True,True,False,0
acus28,2016-07-01T10:13:05,5939,509722,2615,142663,current,married,73,accounting,master,True,True,False,0
acus29,2014-02-06T09:39:41,61627,233081,4158,445701,current,single,48,clergy,verve,True,False,False,1
acus30,2015-01-06T08:25:55,69257,179568,3513,222233,current,married,42,clergy,verve,False,False,False,0
acus31,2016-11-18T09:18:52,20139,1447391,1560,353368,current,unknown,69,doctor,master,True,False,False,1
acus32,2015-01-18T13:59:10,64319,972728,3514,420289,current,married,65,clergy,master,False,True,False,1
acus33,2015-09-14T19:05:17,65861,751268,2979,162128,current,married,59,farmer,verve,False,True,False,1
acus34,2014-03-16T20:15:23,35964,700909,3674,338383,current,unknown,53,banking,master,False,True,False,0
acus35,2016-10-08T19:04:26,36656,923499,3433,12847,current,single,35,clergy,verve,True,True,False,1
acus36,2016-06-19T00:59:28,97560,271281,1851,171232,current,married,52,accounting,verve,False,False,False,0
acus37,2015-10-09T11:21:25,11006,366922,3690,211364,current,married,73,accounting,master,True,True,False,0
acus38,2014-02-11T12:16:43,81102,1134583,1514,133959,current,single,66,lecturer,verve,True,True,False,0
acus39,2015-12-26T21:09:39,49515,722381,925,357407,current,married,51,banking,master,True,True,True,0
acus40,2014-03-11T18:15:30,19779,48841,4869,413025,saving,unknown,38,lecturer,master,True,True,False,1
acus41,2014-11-22T04:05:57,13596,1210354,1790,158299,saving,unknown,69,lecturer,master,False,True,False,0
acus42,2016-10-09T04:15:54,58429,459982,2415,386370,current,unknown,69,clergy,master,True,False,False,0
acus43,2017-11-20T14:54:07,58314,234874,3429,244069,current,married,66,clergy,master,True,False,False,0
acus44,2014-03-20T12:35:09,37295,1301561,1533,438674,saving,single,59,banking,master,True,True,True,0
acus45,2016-02-19T07:58:31,11814,1090364,3139,316609,current,married,76,musician,master,False,False,False,0
acus46,2015-04-27T11:31:34,6559,262066,4166,199448,current,married,44,lecturer,verve,True,False,True,0
acus47,2015-08-16T20:44:55,24158,595231,4735,276884,current,married,36,clergy,master,True,False,False,0
acus48,2016-04-13T00:00:35,98515,1111608,4780,454869,current,married,77,accounting,master,True,True,False,1
acus49,2016-12-09T06:18:32,63375,1137173,2119,225237,current,single,55,musician,master,True,True,False,0
acus50,2016-06-18T16:52:16,77155,505173,489,90877,current,single,36,accounting,master,True,False,False,0
acus51,2015-08-11T04:40:23,20151,475308,1627,6993,saving,single,55,banking,master,True,True,False,0
acus52,2014-08-28T12:11:51,33163,1225115,3934,13219,current,married,40,banking,master,False,True,False,0
acus53,2016-10-17T18:34:48,71389,689634,130,163,current,married,47,doctor,master,True,True,False,0
acus54,2016-12-11T18:24:57,73310,409113,4361,466486,current,married,41,clergy,verve,True,True,False,0
acus55,2016-03-24T15:28:56,29854,520541,1724,25260,current,unknown,54,banking,master,True,True,False,1
acus56,2016-01-01T18:49:38,39736,748120,3372,269235,current,married,34,banking,master,True,True,False,1
acus57,2016-08-23T10:01:16,10401,509598,3811,194106,current,unknown,72,musician,master,True,True,False,0
acus58,2015-06-14T05:08:35,8815,788361,1394,474011,current,married,41,lecturer,master,True,True,True,0
acus59,2016-02-19T16:29:23,64213,965855,558,164596,saving,married,53,doctor,verve,True,False,False,1
acus60,2014-11-16T00:10:52,45649,1067014,1188,430950,current,single,75,accounting,master,False,False,False,0
acus61,2015-02-15T08:06:17,99430,524688,655,255357,current,unknown,71,clergy,master,True,False,False,1
acus62,2015-04-20T02:15:09,72830,629398,4527,219745,current,single,66,clergy,master,True,False,True,0
acus63,2015-07-03T17:27:16,61264,1457320,1060,178640,current,married,42,accounting,master,True,True,True,0
acus64,2014-03-18T06:38:05,75030,941255,3530,70201,current,single,35,doctor,verve,True,True,True,0
acus65,2016-06-01T22:52:54,85563,1396089,4951,14948,current,married,44,lecturer,verve,True,True,False,0
acus66,2015-04-12T03:25:11,57579,1088094,2297,236904,current,married,61,accounting,master,False,False,False,0
acus67,2014-09-21T12:11:01,49919,882551,3988,325993,current,married,42,clergy,verve,True,False,False,0
acus68,2015-09-12T17:49:36,84448,738889,1694,63508,current,married,60,farmer,master,True,True,False,1
acus69,2016-03-20T03:54:48,6132,385078,4251,244998,saving,married,43,farmer,master,True,True,True,0
acus70,2016-08-27T06:09:31,74639,190748,660,79927,current,married,79,farmer,master,False,False,False,0
acus71,2015-09-08T18:52:22,40452,148970,1247,103477,current,single,60,clergy,verve,True,False,False,0
acus72,2015-05-01T15:26:18,57051,647266,3785,247292,current,married,53,accounting,master,True,False,False,0
acus73,2016-01-26T22:58:06,59227,918235,4037,290449,saving,single,53,farmer,master,True,True,False,1
acus74,2016-08-03T14:11:40,19715,1425807,1929,401669,current,unknown,60,banking,master,True,True,False,1
acus75,2016-08-14T06:08:35,20826,1015049,156,160350,current,single,37,clergy,master,True,True,True,0
acus76,2014-08-28T11:31:37,3113,1151918,2326,333956,saving,single,62,clergy,master,True,True,False,0
acus77,2016-01-27T19:11:25,14386,662123,2804,400390,current,married,73,clergy,master,False,False,True,1
acus78,2014-04-28T06:24:38,90683,633429,2299,443696,current,married,57,accounting,master,True,False,False,0
acus79,2016-02-16T06:26:07,49602,142503,4951,104604,current,unknown,73,accounting,verve,False,False,False,1
acus80,2015-08-23T23:05:32,96688,1364231,1876,31283,current,unknown,65,lecturer,master,True,True,False,0
acus81,2016-02-02T14:33:44,1024,1361449,3824,262970,current,single,54,doctor,master,True,True,False,0
acus82,2015-08-17T17:22:03,54581,253591,2155,324136,current,unknown,52,doctor,verve,True,True,False,0
acus83,2016-10-18T16:19:58,5906,59461,3061,214086,current,unknown,32,banking,verve,False,True,False,1
acus84,2016-09-11T13:19:40,63695,361118,3194,497360,current,single,61,banking,master,True,False,False,1
acus85,2014-03-21T13:38:38,24982,107598,2539,118621,current,single,62,clergy,master,True,True,False,1
acus86,2015-01-09T02:27:14,96034,80423,2849,468225,current,single,78,lecturer,master,True,False,False,1
acus87,2016-01-01T09:19:56,73362,857594,4143,482205,current,married,71,doctor,verve,True,False,False,1
acus88,2016-06-19T19:00:25,64543,1435002,2757,352133,current,married,59,doctor,master,True,True,False,0
acus89,2014-12-05T19:59:40,17408,795591,4376,220820,current,single,41,musician,master,True,False,False,1
acus90,2015-10-14T09:22:38,81998,1439213,3682,224678,current,single,45,farmer,verve,False,True,False,0
acus91,2015-02-05T01:04:40,4815,221613,1583,76548,saving,married,30,clergy,master,True,False,False,0
acus92,2014-02-11T04:24:49,94274,551619,3319,59973,current,unknown,55,banking,verve,True,False,False,0
acus93,2014-02-20T11:06:40,50896,1178456,3554,280254,current,single,76,accounting,master,True,True,True,0
acus94,2016-10-01T11:45:39,30096,1423559,3114,296239,saving,single,57,accounting,master,True,True,False,0
acus95,2014-10-27T07:31:26,67118,32234,3384,63172,saving,married,60,accounting,master,False,True,False,0
acus96,2016-09-12T15:10:19,65681,389041,2977,427275,current,married,37,accounting,master,True,False,True,1
acus97,2015-02-13T09:09:26,56446,155609,4604,240207,current,unknown,51,banking,master,True,True,False,1
acus98,2014-12-03T14:30:09,67657,1172022,2064,250126,current,single,66,doctor,master,True,False,True,0
acus99,2014-05-12T01:52:02,98558,1272613,4991,364157,current,unknown,50,musician,master,True,True,False,0
acus100,2016-11-17T11:29:42,77706,220562,3485,157600,current,unknown,46,clergy,master,False,True,False,0
acus101,2015-04-02T01:33:09,46009,1098417,1061,479236,current,married,79,lawyer,master,True,True,False,0
acus102,2015-07-10T08:42:49,57461,1473815,4852,318889,current,single,74,lecturer,master,True,False,False,0
acus103,2016-04-28T08:49:13,99384,75659,3516,3038,current,single,79,musician,master,False,False,False,0
acus104,2016-06-25T15:48:08,39687,137113,849,455425,current,married,59,doctor,master,False,True,False,1
acus105,2016-03-23T17:26:43,67325,131063,3811,387973,current,unknown,70,clergy,master,True,True,False,0
acus106,2015-07-21T09:14:57,36390,712008,884,225968,current,single,68,lecturer,master,True,True,True,0
acus107,2017-07-05T12:02:59,15813,987369,375,324417,current,married,76,musician,master,True,False,True,0
acus108,2014-08-10T09:14:05,68176,513534,2897,413651,current,married,60,accounting,master,True,True,True,0
acus109,2016-03-21T12:29:25,33512,849114,2631,20341,current,single,68,banking,master,True,True,False,0
acus110,2015-08-03T22:17:17,8444,277251,4769,135447,current,single,36,accounting,master,True,True,False,0
acus111,2016-09-24T06:30:47,18865,970116,2185,138536,current,married,64,doctor,master,True,False,False,0
acus112,2015-03-28T16:16:53,16316,1438876,3919,378220,saving,married,55,lecturer,master,False,True,False,1
acus113,2015-12-07T09:20:52,12949,587781,2752,469520,saving,married,45,clergy,verve,True,False,False,0
acus114,2015-10-26T08:55:52,10480,790426,4426,366552,current,married,33,banking,master,True,True,True,0
acus115,2015-12-16T08:03:43,67107,1160751,4530,209740,current,single,78,lawyer,master,True,True,True,0
acus116,2016-07-03T08:27:28,91192,1150275,4799,261644,current,married,44,clergy,master,True,True,False,1
acus117,2016-12-04T19:04:01,18518,1032949,725,470625,current,married,51,clergy,master,False,False,True,1
acus118,2015-07-27T23:26:22,87617,1277019,4074,207480,current,married,67,farmer,master,True,True,True,0
acus119,2015-07-23T16:20:54,99134,1496529,3130,315838,saving,married,33,accounting,verve,False,True,True,0
acus120,2015-06-04T20:24:12,58486,275034,1844,447603,current,married,63,banking,master,True,True,False,0
acus121,2014-05-05T23:06:08,79108,340162,1092,277764,current,single,78,clergy,verve,False,False,False,1
acus122,2016-10-05T16:33:00,93243,647423,1165,175141,current,married,30,clergy,master,False,True,False,0
acus123,2016-04-03T16:35:26,17205,1108999,4337,214547,saving,married,46,accounting,master,False,True,False,1
acus124,2014-04-18T07:59:29,83750,1298091,1487,87242,current,single,35,lawyer,master,False,False,False,0
acus125,2016-03-06T20:02:11,67850,872696,765,98126,current,married,66,accounting,master,True,True,True,0
acus126,2016-12-24T23:02:30,99575,272273,1692,110364,current,unknown,39,accounting,master,True,False,False,1
acus127,2016-03-25T16:51:26,46834,812431,1550,360450,saving,married,48,accounting,verve,True,True,True,0
acus128,2016-04-04T23:31:25,86609,1184702,2451,385046,current,single,36,lawyer,master,True,False,False,0
acus129,2015-12-12T19:57:00,19347,974833,1068,458052,current,single,76,banking,verve,True,False,False,1
acus130,2014-05-12T23:31:07,63831,1195192,2160,495953,current,single,45,banking,master,True,False,False,1
acus131,2016-01-02T21:23:40,54484,969031,3778,180592,current,single,79,lecturer,verve,True,False,False,1
acus132,2016-06-06T23:55:13,73552,194204,3480,11058,saving,married,50,accounting,verve,True,False,False,1
acus133,2015-06-02T22:20:19,23687,972676,3641,55210,saving,single,32,clergy,verve,True,False,False,1
acus134,2016-06-22T17:07:39,45192,999568,2805,280114,current,married,38,accounting,master,True,True,False,1
acus135,2014-11-11T21:24:36,82233,1008920,4023,30818,current,unknown,43,clergy,master,True,True,False,1
acus136,2015-12-13T15:09:41,33072,346581,3904,326620,current,married,51,doctor,master,False,False,False,0
acus137,2016-01-02T05:31:09,78933,1231983,2302,242768,current,unknown,57,lawyer,master,True,False,False,0
acus138,2015-07-23T20:59:02,62085,1290172,2348,74868,current,unknown,62,clergy,master,False,True,False,1
acus139,2016-04-25T03:58:49,9425,265291,3360,249186,current,unknown,66,banking,master,False,False,True,0
acus140,2015-04-28T00:58:50,47186,1024695,1483,123522,current,single,66,farmer,verve,True,True,False,1
acus141,2016-05-09T11:48:37,44968,584549,2831,17165,current,married,54,clergy,master,False,True,False,0
acus142,2016-12-16T00:34:02,71953,633513,2602,311502,current,unknown,63,accounting,master,True,True,False,0
acus143,2014-04-15T04:28:30,95034,1441740,4362,280587,current,married,53,lawyer,verve,False,True,True,0
acus144,2014-06-15T06:07:40,62950,1159457,502,124449,current,single,52,musician,master,True,True,False,0
acus145,2015-05-10T13:56:27,74801,472793,1287,247972,current,single,45,lecturer,master,True,True,False,0
acus146,2015-02-22T06:50:19,83952,1048482,4335,87521,current,married,30,banking,master,False,False,True,0
acus147,2014-03-26T01:29:56,67209,890004,1556,393578,current,married,55,musician,master,True,True,False,0
acus148,2015-10-24T15:38:26,24273,842226,3132,113179,current,married,76,clergy,master,True,False,True,1
acus149,2015-07-03T21:49:31,14466,139679,763,57305,saving,unknown,59,clergy,verve,True,False,True,1
acus150,2015-12-08T15:50:15,20412,711711,1640,128526,current,single,40,lawyer,master,True,False,True,1
acus151,2015-03-04T16:05:08,56224,402210,1799,176746,current,married,39,lawyer,master,True,True,False,0
acus152,2015-09-09T11:43:05,43299,139131,3009,482812,saving,single,68,doctor,verve,True,True,False,0
acus153,2014-06-16T10:30:10,69649,1352933,4052,478060,current,married,49,doctor,master,True,True,False,0
acus154,2015-09-09T09:59:53,27878,411109,584,96306,saving,single,57,lecturer,master,True,False,False,1
acus155,2017-05-27T04:15:03,71686,628803,1038,236723,saving,married,44,musician,verve,True,True,False,0
acus156,2016-04-10T12:16:09,37474,809604,3918,180940,current,married,57,clergy,master,False,True,False,0
acus157,2016-10-07T19:19:18,30376,965584,687,108912,saving,single,73,accounting,master,True,False,False,0
acus158,2015-11-02T02:35:06,80506,99297,1903,427339,saving,married,59,clergy,master,False,False,False,1
acus159,2016-08-04T16:43:12,72155,1476722,4220,435699,current,married,37,farmer,master,True,True,False,0
acus160,2017-12-18T04:56:40,6277,896171,3136,317879,current,unknown,40,doctor,master,False,True,True,0
acus161,2014-05-03T09:55:57,99116,558619,4686,451432,saving,single,51,farmer,verve,True,False,True,0
acus162,2015-01-19T21:05:21,3464,1007232,2670,145245,current,married,65,clergy,verve,True,False,False,0
acus163,2016-03-02T04:47:18,98959,785089,1657,399631,current,married,59,clergy,master,True,False,True,0
acus164,2015-06-20T17:15:11,42092,77504,3275,241500,current,single,64,accounting,master,True,True,False,1
acus165,2016-08-08T05:25:32,74556,275628,3367,122086,current,married,56,lecturer,verve,False,True,False,0
acus166,2016-09-05T02:47:23,61563,1095018,2028,158298,current,married,50,banking,verve,False,True,False,0
acus167,2016-09-27T23:17:09,4544,1422032,2396,125390,current,married,37,doctor,master,True,False,False,0
acus168,2016-03-19T21:46:21,30207,831202,3489,365856,current,unknown,59,lecturer,verve,True,False,False,1
acus169,2016-09-06T03:17:52,60290,525547,462,250728,current,married,67,clergy,master,True,True,True,0
acus170,2015-07-26T22:46:25,70856,1201408,235,365240,current,married,66,clergy,master,True,True,False,0
acus171,2014-06-05T20:56:13,94240,1269330,1903,361483,current,married,58,accounting,master,True,True,False,1
acus172,2016-07-16T23:39:33,38973,589767,1119,172027,current,single,55,banking,master,True,True,False,1
acus173,2016-11-16T12:31:53,56789,1256285,471,257308,current,married,50,clergy,master,True,True,False,0
acus174,2014-12-01T11:27:46,98173,1400766,3971,214743,current,married,67,doctor,verve,True,False,False,0
acus175,2017-10-25T22:03:12,91478,771635,326,112099,saving,married,49,banking,master,True,False,False,0
acus176,2015-04-23T13:56:25,93191,874162,4000,25082,current,married,53,clergy,master,True,False,False,1
acus177,2016-01-02T22:15:32,25865,563556,2650,463555,current,unknown,78,accounting,master,False,False,True,1
acus178,2014-07-07T06:07:54,95671,112946,20,410739,saving,single,76,musician,master,True,False,False,1
acus179,2016-11-08T03:42:44,9213,1197458,1552,208182,current,married,72,clergy,verve,True,True,False,0
acus180,2016-09-14T11:49:26,28486,101441,3448,86358,current,married,56,lecturer,master,True,True,False,1
acus181,2015-06-12T07:56:07,11845,1020296,1812,78922,current,married,52,lawyer,verve,True,False,False,0
acus182,2016-08-20T06:51:54,92459,181596,2659,134182,current,single,42,lawyer,verve,True,False,False,0
acus183,2016-06-10T19:15:44,59923,1221057,1829,222578,current,married,60,accounting,master,False,False,False,1
acus184,2016-09-11T06:34:36,19041,835226,2033,128416,current,married,73,clergy,master,True,True,False,0
acus185,2015-02-09T15:24:50,57022,686346,4217,227114,current,married,39,accounting,verve,True,False,False,1
acus186,2015-10-16T03:36:13,70286,354451,1175,119771,current,married,40,accounting,master,True,False,False,0
acus187,2016-06-11T16:44:27,89411,1149072,612,42765,current,married,59,accounting,master,True,True,True,0
acus188,2016-10-16T13:55:58,91548,324798,2844,174740,current,married,53,farmer,master,False,True,False,0
acus189,2015-10-02T01:59:46,72419,1302924,2698,485665,current,married,43,accounting,master,True,True,True,0
acus190,2016-12-05T15:04:19,614,242805,3706,130351,current,married,79,banking,master,True,True,False,0
acus191,2015-05-08T18:54:24,52336,625684,2048,82440,current,married,41,lecturer,master,True,False,False,0
acus192,2014-06-10T17:59:05,42984,505540,4005,38081,current,married,40,clergy,master,False,True,False,0
acus193,2016-08-27T12:30:26,57605,275146,3024,205179,current,single,64,accounting,master,False,False,True,0
acus194,2015-08-06T04:01:01,75923,1053088,3732,440944,current,single,73,accounting,master,True,False,True,0
acus195,2014-06-20T03:54:34,95529,222399,3755,129485,current,married,55,banking,master,False,True,False,0
acus196,2016-04-11T15:38:16,21541,911211,2282,352641,saving,single,70,clergy,master,True,True,True,0
acus197,2015-02-21T22:55:26,47916,802403,146,296237,current,single,74,lecturer,master,True,False,False,1
acus198,2014-07-25T19:59:32,95538,860744,4700,400290,current,married,79,farmer,master,False,False,True,0
acus199,2016-05-07T05:00:11,91951,1191430,1297,79558,saving,married,63,clergy,master,True,False,False,0
acus200,2015-04-15T14:30:53,74224,911756,1818,363810,current,married,58,clergy,verve,True,True,False,1
acus201,2016-09-10T01:51:48,8778,1362765,4435,255116,current,married,69,doctor,master,False,True,True,0
acus202,2016-10-11T08:17:52,64771,521761,4256,242262,current,married,59,banking,master,False,False,False,0
acus203,2016-09-14T20:54:02,12005,1193432,673,63328,current,unknown,52,doctor,master,True,True,False,0
acus204,2015-07-13T04:39:17,29286,1224081,3985,417675,current,married,62,accounting,master,True,True,True,0
acus205,2014-07-17T22:08:34,28404,1492511,2562,378826,current,married,74,accounting,master,True,False,False,1
acus206,2015-04-07T12:58:38,43728,516868,2255,245748,current,married,64,lawyer,master,False,False,False,0
acus207,2014-10-08T09:25:40,33846,156593,1734,448720,current,single,30,accounting,master,True,True,False,1
acus208,2014-04-06T09:31:10,80186,1409707,4453,43172,current,married,54,banking,verve,True,False,True,1
acus209,2016-03-12T20:06:17,30575,131427,508,405180,current,single,63,clergy,master,True,False,False,0
acus210,2015-03-02T20:27:13,868,136444,4556,52511,current,unknown,68,doctor,verve,True,True,False,0
acus211,2016-10-21T21:40:19,71499,246231,4720,32185,saving,married,53,accounting,master,True,False,False,1
acus212,2014-09-19T17:13:14,91536,1055829,4569,280316,saving,single,61,clergy,master,True,False,False,1
acus213,2016-12-15T17:43:03,74355,180805,1361,310522,saving,unknown,41,accounting,master,True,True,False,1
acus214,2016-05-25T06:51:46,74404,926023,2067,471475,current,unknown,72,accounting,master,False,False,True,0
acus215,2015-02-28T01:54:51,8455,1071054,4574,306337,current,married,36,doctor,verve,True,False,False,0
acus216,2016-04-28T20:31:03,20492,12082,4469,365887,current,married,55,doctor,master,True,True,False,1
acus217,2017-01-06T22:40:49,18720,430995,606,296943,current,unknown,69,lawyer,master,True,False,False,0
acus218,2017-10-10T00:31:53,60324,1202555,1658,155135,current,married,46,clergy,master,True,False,False,1
acus219,2015-10-15T12:43:35,57281,1294721,3092,401394,current,unknown,35,doctor,master,True,True,False,0
acus220,2016-11-06T12:58:42,77901,1171822,830,104052,current,single,38,accounting,verve,True,True,False,0
acus221,2015-08-10T09:25:15,17480,504519,2293,112842,current,married,65,lawyer,master,True,True,False,1
acus222,2014-08-28T02:51:12,96655,591406,2237,187072,current,single,38,farmer,verve,True,False,False,0
acus223,2014-10-14T03:58:56,14557,1323615,4720,271933,current,single,65,banking,master,True,True,False,0
acus224,2015-08-10T06:45:29,95145,1438706,1804,58294,saving,single,75,accounting,master,True,False,True,0
acus225,2015-12-25T11:55:30,60567,11606,2887,307965,current,married,38,accounting,master,True,True,True,0
acus226,2016-04-06T13:15:28,77675,1215610,2762,20462,current,single,48,accounting,master,False,False,True,0
acus227,2016-10-27T04:33:49,74605,957647,1274,25452,current,married,61,accounting,master,True,True,True,0
acus228,2014-02-27T06:28:33,42910,573844,393,497440,current,single,59,banking,master,True,True,False,0
acus229,2015-10-07T04:40:13,83372,580777,492,267282,current,unknown,39,farmer,master,True,False,False,0
acus230,2016-08-08T20:12:07,97653,844143,3921,110918,current,single,35,lecturer,master,False,True,True,1
acus231,2015-09-05T13:39:01,17236,805834,3228,27930,current,married,70,banking,master,False,False,False,0
acus232,2015-11-14T15:08:44,5259,790552,1921,306879,current,married,59,clergy,master,False,False,False,1
acus233,2015-05-26T21:06:22,55972,839865,3941,342445,current,single,37,banking,master,False,True,False,0
acus234,2015-05-23T04:39:12,99273,1411087,3854,141707,current,single,52,clergy,verve,False,True,False,0
acus235,2015-08-04T11:22:04,76733,193169,754,365486,current,unknown,33,clergy,master,False,False,False,0
acus236,2014-06-22T18:35:28,4876,430312,1977,27307,current,married,52,lawyer,master,True,False,True,0
acus237,2016-11-14T02:01:13,53505,975757,3504,61572,current,single,42,doctor,master,True,True,False,0
acus238,2016-05-10T01:41:57,89145,689607,214,37057,current,married,70,lecturer,verve,True,True,False,0
acus239,2016-10-16T19:36:06,45001,275548,4211,225428,current,married,76,clergy,master,True,True,False,1
acus240,2015-05-20T12:05:46,60076,351122,1768,144761,current,married,32,accounting,verve,True,True,False,0
acus241,2017-07-04T09:14:15,1811,1174243,4951,424154,current,single,79,farmer,master,False,True,False,0
acus242,2016-09-04T22:31:51,54158,46757,2844,391772,current,single,68,lecturer,master,True,False,True,0
acus243,2015-02-22T00:29:18,50846,991497,124,147735,current,married,46,clergy,verve,True,False,False,0
acus244,2016-01-28T19:59:39,70876,681473,4080,392040,current,unknown,42,accounting,verve,True,True,False,1
acus245,2017-09-15T01:54:10,36251,1427300,4211,54354,current,married,38,clergy,master,False,True,True,0
acus246,2014-05-07T02:58:03,51156,767272,493,260068,current,married,31,doctor,verve,True,False,True,0
acus247,2015-02-01T15:07:07,2640,1461178,1103,211607,saving,married,35,doctor,master,True,False,True,0
acus248,2016-08-22T08:45:14,80999,801652,1718,212987,current,single,42,lecturer,master,False,True,False,0
acus249,2014-08-27T09:15:01,59853,1156526,2687,445027,saving,married,50,clergy,master,True,True,False,0
acus250,2015-02-12T21:30:22,56141,639419,1100,380790,current,married,52,lecturer,master,True,True,False,1
acus251,2016-09-08T02:57:06,67634,1494984,3198,387326,current,unknown,77,lawyer,master,True,False,False,0
acus252,2015-01-19T07:25:35,39319,799601,3196,415099,current,married,33,banking,master,False,True,False,0
acus253,2014-12-05T05:57:35,35799,777610,2711,113950,current,married,61,lecturer,verve,True,True,False,0
acus254,2014-05-25T05:02:07,81945,51946,1406,72576,saving,married,53,banking,master,True,True,False,0
acus255,2016-07-26T17:30:11,60015,764425,1659,221385,current,married,39,clergy,master,True,True,True,0
acus256,2017-07-02T00:32:07,56082,192772,1770,289394,current,single,59,doctor,verve,True,False,False,1
acus257,2015-07-09T18:22:20,87130,1427798,1196,431883,current,unknown,43,clergy,master,True,False,False,0
acus258,2016-08-25T02:26:41,10715,1104564,2638,210136,current,unknown,60,banking,verve,True,True,False,0
acus259,2016-06-12T14:45:59,27140,1496882,2207,69966,current,married,62,lecturer,master,True,True,False,0
acus260,2015-05-28T16:33:02,48072,215531,173,185597,current,single,61,farmer,master,True,True,False,1
acus261,2015-07-19T16:20:27,35432,867776,842,477901,current,unknown,36,banking,master,True,False,False,0
acus262,2015-08-14T17:51:20,84910,1448677,4948,410897,current,married,73,doctor,verve,False,True,False,0
acus263,2015-10-01T10:14:22,81264,347215,4564,273999,saving,married,39,accounting,master,True,True,False,0
acus264,2016-08-12T11:01:57,20180,529890,954,275806,current,married,65,doctor,verve,True,True,False,0
acus265,2016-07-26T23:29:56,51896,647248,44,408292,current,married,71,clergy,master,True,True,True,0
acus266,2015-04-03T08:36:12,22738,1048886,604,476764,current,married,57,musician,master,True,True,False,0
acus267,2016-12-12T22:29:38,71021,961223,501,32694,current,single,41,accounting,master,True,True,False,1
acus268,2016-07-05T05:58:55,94822,1419215,1514,423106,current,married,33,banking,verve,False,False,False,0
acus269,2015-10-21T05:25:29,51849,439682,2912,379511,saving,unknown,79,accounting,master,True,True,True,0
acus270,2015-05-11T09:44:42,97722,1011641,3930,63282,current,single,43,clergy,verve,True,False,True,1
acus271,2016-07-27T12:58:10,82708,834840,4915,238398,current,married,39,banking,master,True,True,False,0
acus272,2016-07-03T14:14:43,31648,1447520,1461,113058,current,married,74,accounting,master,True,True,False,0
acus273,2016-07-23T11:25:22,77489,827033,1217,109743,saving,married,55,clergy,master,False,False,False,0
acus274,2016-07-12T02:54:59,82780,707890,793,20207,current,married,30,clergy,master,True,True,False,0
acus275,2014-10-26T07:22:11,87578,1467633,197,53839,current,single,49,farmer,master,True,True,False,0
acus276,2016-11-10T06:55:19,29703,242064,2364,304270,current,married,68,accounting,master,True,True,True,0
